user_id,meal_type,timestamp,is_weekend,logged,food_id,food_name,tags
user_001,breakfast,2025-01-01 09:16:00,False,True,6,mushroom risotto,['dairy']
user_001,lunch,2025-01-01 13:23:00,False,False,10,black bean and sweet potato tacos,['legumes']
user_001,afternoon_snack,2025-01-01 15:52:00,False,False,0,margherita pizza,"['gluten', 'dairy']"
user_001,dinner,2025-01-01 20:33:00,False,False,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,evening_snack,2025-01-01 21:03:00,False,False,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,early_morning,2025-01-02 05:45:00,False,True,1,beef tacos,['dairy']
user_001,breakfast,2025-01-02 07:02:00,False,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,lunch,2025-01-02 13:51:00,False,True,11,herb roasted vegetables,[]
user_001,dinner,2025-01-02 18:55:00,False,True,5,peanut butter banana smoothie,"['peanuts', 'dairy', 'gluten']"
user_001,breakfast,2025-01-03 08:29:00,False,True,11,herb roasted vegetables,[]
user_001,lunch,2025-01-03 12:27:00,False,False,11,herb roasted vegetables,[]
user_001,afternoon_snack,2025-01-03 15:05:00,False,False,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,dinner,2025-01-03 19:46:00,False,True,5,peanut butter banana smoothie,"['peanuts', 'dairy', 'gluten']"
user_001,breakfast,2025-01-04 08:35:00,True,True,10,black bean and sweet potato tacos,['legumes']
user_001,lunch,2025-01-04 13:26:00,True,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,dinner,2025-01-04 19:31:00,True,True,9,mango chicken lettuce wraps,['fish']
user_001,early_morning,2025-01-05 05:03:00,True,True,11,herb roasted vegetables,[]
user_001,breakfast,2025-01-05 07:44:00,True,True,8,lentil soup,['legumes']
user_001,lunch,2025-01-05 11:11:00,True,False,10,black bean and sweet potato tacos,['legumes']
user_001,dinner,2025-01-05 18:21:00,True,False,8,lentil soup,['legumes']
user_001,early_morning,2025-01-06 06:10:00,False,False,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,breakfast,2025-01-06 08:39:00,False,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,morning_snack,2025-01-06 10:15:00,False,True,11,herb roasted vegetables,[]
user_001,lunch,2025-01-06 13:52:00,False,False,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,dinner,2025-01-06 19:18:00,False,True,5,peanut butter banana smoothie,"['peanuts', 'dairy', 'gluten']"
user_001,breakfast,2025-01-07 07:06:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,morning_snack,2025-01-07 10:59:00,False,True,6,mushroom risotto,['dairy']
user_001,lunch,2025-01-07 12:44:00,False,True,11,herb roasted vegetables,[]
user_001,dinner,2025-01-07 18:59:00,False,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,early_morning,2025-01-08 05:50:00,False,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,breakfast,2025-01-08 08:19:00,False,True,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
user_001,lunch,2025-01-08 11:50:00,False,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,dinner,2025-01-08 19:53:00,False,False,6,mushroom risotto,['dairy']
user_001,breakfast,2025-01-09 09:46:00,False,True,1,beef tacos,['dairy']
user_001,morning_snack,2025-01-09 10:36:00,False,True,6,mushroom risotto,['dairy']
user_001,lunch,2025-01-09 13:53:00,False,True,4,chicken caesar salad,"['gluten', 'dairy', 'fish', 'egg']"
user_001,dinner,2025-01-09 19:44:00,False,True,9,mango chicken lettuce wraps,['fish']
user_001,evening_snack,2025-01-09 22:52:00,False,True,9,mango chicken lettuce wraps,['fish']
user_001,breakfast,2025-01-10 07:30:00,False,True,4,chicken caesar salad,"['gluten', 'dairy', 'fish', 'egg']"
user_001,lunch,2025-01-10 11:34:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,afternoon_snack,2025-01-10 16:50:00,False,True,11,herb roasted vegetables,[]
user_001,dinner,2025-01-10 18:09:00,False,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,breakfast,2025-01-11 08:28:00,True,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,lunch,2025-01-11 13:00:00,True,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,dinner,2025-01-11 20:34:00,True,False,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,evening_snack,2025-01-11 21:02:00,True,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,breakfast,2025-01-12 09:35:00,True,True,11,herb roasted vegetables,[]
user_001,morning_snack,2025-01-12 10:50:00,True,False,11,herb roasted vegetables,[]
user_001,lunch,2025-01-12 11:20:00,True,True,0,margherita pizza,"['gluten', 'dairy']"
user_001,dinner,2025-01-12 20:56:00,True,False,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,breakfast,2025-01-13 08:03:00,False,True,8,lentil soup,['legumes']
user_001,lunch,2025-01-13 13:45:00,False,True,6,mushroom risotto,['dairy']
user_001,afternoon_snack,2025-01-13 15:30:00,False,False,10,black bean and sweet potato tacos,['legumes']
user_001,dinner,2025-01-13 19:50:00,False,True,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
user_001,breakfast,2025-01-14 08:18:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,lunch,2025-01-14 12:29:00,False,True,11,herb roasted vegetables,[]
user_001,afternoon_snack,2025-01-14 15:45:00,False,True,6,mushroom risotto,['dairy']
user_001,dinner,2025-01-14 19:04:00,False,True,0,margherita pizza,"['gluten', 'dairy']"
user_001,evening_snack,2025-01-14 21:23:00,False,True,11,herb roasted vegetables,[]
user_001,breakfast,2025-01-15 07:26:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,lunch,2025-01-15 13:42:00,False,True,0,margherita pizza,"['gluten', 'dairy']"
user_001,dinner,2025-01-15 20:21:00,False,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,breakfast,2025-01-16 08:52:00,False,True,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
user_001,lunch,2025-01-16 13:24:00,False,True,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
user_001,afternoon_snack,2025-01-16 16:26:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,dinner,2025-01-16 19:12:00,False,False,1,beef tacos,['dairy']
user_001,early_morning,2025-01-17 05:53:00,False,True,11,herb roasted vegetables,[]
user_001,breakfast,2025-01-17 08:47:00,False,True,3,classic cheeseburger,"['gluten', 'dairy']"
user_001,lunch,2025-01-17 13:23:00,False,False,6,mushroom risotto,['dairy']
user_001,afternoon_snack,2025-01-17 16:37:00,False,True,10,black bean and sweet potato tacos,['legumes']
user_001,dinner,2025-01-17 18:39:00,False,True,11,herb roasted vegetables,[]
user_001,early_morning,2025-01-18 05:51:00,True,True,1,beef tacos,['dairy']
user_001,breakfast,2025-01-18 09:42:00,True,True,1,beef tacos,['dairy']
user_001,lunch,2025-01-18 11:57:00,True,True,2,shrimp stir fry,"['shellfish', 'soy', 'gluten']"
user_001,afternoon_snack,2025-01-18 15:50:00,True,True,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
user_001,dinner,2025-01-18 19:11:00,True,False,5,peanut butter banana smoothie,"['peanuts', 'dairy', 'gluten']"
user_001,breakfast,2025-01-19 08:52:00,True,True,6,mushroom risotto,['dairy']
user_001,morning_snack,2025-01-19 10:42:00,True,False,6,mushroom risotto,['dairy']
user_001,lunch,2025-01-19 13:18:00,True,True,0,margherita pizza,"['gluten', 'dairy']"
user_001,afternoon_snack,2025-01-19 16:42:00,True,True,8,lentil soup,['legumes']
user_001,dinner,2025-01-19 18:26:00,True,False,9,mango chicken lettuce wraps,['fish']
user_001,early_morning,2025-01-20 06:39:00,False,False,7,salmon sushi roll,"['fish', 'soy', 'gluten']"
